species,symptoms,disease,temperature,outcome,severity
Sheep,"Weight loss, Clumped wool",Johne's Disease,39.9,Euthanized,severe
Dog,"Vomiting, Lethargy",Addison's Disease,39.7,Ongoing,severe
Pig,Coughing,Swine Influenza,41,Ongoing,moderate
Cow,"Displaced abomasum, Decreased appetite",DA,40.2,Ongoing,moderate
Cat,None,Behavioral Counseling,38.6,Recovered,no outbreak
Dog,Sneezing,Allergies,38.8,Ongoing,mild
Horse,None,Pre-purchase Exam,38.5,Recovered,no outbreak
Dog,"Limping, Reluctance to jump",Hip Dysplasia,39,Ongoing,moderate
Cat,"Drooling, Difficulty eating",Oral Tumor,39.8,Euthanized,severe
Cow,None,Calving Assistance,39.2,Recovered,no outbreak
Pig,"Fever, Infertility",Leptospirosis,40.9,Ongoing,moderate
Goat,None,Ultrasound,38.9,Recovered,no outbreak
Dog,"Hair loss, rat tail""""",Alopecia X,38.7,Ongoing,mild
Cat,"Weight loss, Vomiting",Inflammatory Bowel Disease,39.4,Ongoing,moderate
Sheep,None,Drenching for Parasites,38.8,Recovered,no outbreak
Dog,Vomiting,Garbage Gut,39.6,Recovered,mild
Horse,Coughing,Allergic Bronchitis,39.7,Ongoing,mild
Cow,None,Fly Control,38.7,Recovered,no outbreak
Dog,"Stiffness, Difficulty rising",Osteoarthritis,38.9,Ongoing,moderate
Cat,"Lethargy, Anorexia",Feline Infectious Peritonitis,41.3,Euthanized,severe
Pig,"Skin discoloration, Fever",Glasser's Disease,41.4,Died,severe
Dog,"Licking feet, Redness between toes",Pododermatitis,38.9,Recovered,mild
Cat,"Squinting, Eye discharge",Corneal Sequestrum,39.1,Ongoing,moderate
Horse,None,Saddle Fit Evaluation,38.6,Recovered,no outbreak
Dog,"Drinking from toilet, Sweet breath",Diabetes Mellitus,39,Ongoing,severe
Cow,"Retained placenta, Fever",Metritis,40.7,Ongoing,moderate
Dog,"Head tilt, Loss of balance",Inner Ear Infection,39.9,Recovered,moderate
Cat,"Asthma attack, Wheezing",Feline Asthma,39.5,Ongoing,moderate
Sheep,None,Tail Docking,39,Recovered,no outbreak
Pig,"Greasy skin, Brown flakes",Exudative Epidermitis,39.8,Recovered,mild
Dog,"Bleeding gums, Bruising",Immune-Mediated Thrombocytopenia,40.5,Ongoing,severe
Cat,"Twitching skin, Agitation",Feline Hyperesthesia Syndrome,38.8,Ongoing,mild
Horse,Colic,Gas Colic,40.1,Recovered,moderate
Dog,Vomiting,Motion Sickness,38.7,Recovered,mild
Cow,None,Brucellosis Vaccination,38.9,Recovered,no outbreak
Cat,Diarrhea,Tritrichomonas Foetus,39.3,Ongoing,moderate
Dog,"Limping on hind leg, Pain",Cruciate Ligament Rupture,39.4,Ongoing,severe
Pig,"Red spots on skin, Fever",Dermatosis Vegetans,40.3,Euthanized,severe
Goat,None,Tattooing for Identification,38.8,Recovered,no outbreak
Horse,"Swollen sheath, Pain",Bean Cleaning Needed,38.9,Recovered,mild
Dog,"Ravenous appetite, Weight loss",Exocrine Pancreatic Insufficiency,38.8,Ongoing,moderate
Cat,None,Adoption Exam,38.7,Recovered,no outbreak
Cow,"Weak calves, Stillbirths",Neosporosis,39.6,Euthanized,severe
Dog,Sneezing,Foxtail in Nose,39.2,Recovered,mild
Sheep,"Swollen head, Difficulty breathing",Bighead,41.1,Died,severe
Cat,Vomiting,Foreign Body Ingestion,40,Ongoing,severe
Pig,"Jaundice, Fever",Leptospirosis,41.2,Died,moderate
Dog,None,Heartworm Test,38.7,Recovered,no outbreak
Horse,"Abnormal sweating, Long coat",Equine Cushing's Disease,39,Ongoing,moderate
Cow,None,Nutritional Deficiency,39.3,Ongoing,mild
Dog,"Red patch on skin, Itching",Ringworm,38.9,Recovered,mild
Cat,"Panting, Rapid heart rate",Cardiomyopathy,39.7,Ongoing,severe
Goat,Bloat,Grain Overload,40.6,Died,severe
Dog,None,Microchip Scan,38.6,Recovered,no outbreak
Sheep,"Paralysis, Weakness",Listeriosis,41.5,Euthanized,severe
Horse,"Eye ulcer, Cloudiness",Moon Blindness,39.8,Ongoing,moderate
Cat,Diarrhea,Food Intolerance,39.1,Ongoing,mild
Cow,"Weakness, Recumbency after calving",Milk Fever,37.8,Ongoing,severe
Dog,Vomiting,Ingested Toxin,40.4,Ongoing,severe
Pig,"Shaking, Convulsions",Congenital Tremor,39.5,Recovered,mild
Cat,None,Grooming,38.7,Recovered,no outbreak
Dog,Lethargy,Anaplasmosis,40.7,Recovered,moderate
Horse,Lameness,Thrush,38.8,Recovered,mild
Cow,None,Fly Tag Application,38.6,Recovered,no outbreak
Dog,"Eye redness, Squinting",Glaucoma,39.3,Ongoing,severe
Cat,"Weight loss, Muscle wasting",Cachexia,38.5,Euthanized,severe
Goat,"Nasal bots, Sneezing",Oestrus Ovis,39.4,Recovered,mild
Pig,Coughing,Ascarid Infection,39.9,Recovered,mild
Dog,"Fainting, Coughing",Pulmonary Hypertension,39.8,Ongoing,severe
Horse,None,Chiropractic Adjustment,38.7,Recovered,no outbreak
Cat,Vomiting,Intestinal Lymphoma,39.6,Euthanized,severe
Dog,"Pawing at mouth, Drooling",Broken Tooth,39,Recovered,mild
Cow,"Fluid under jaw, Weight loss",Hardware Disease,40.9,Euthanized,severe
Sheep,"Circling, Head pressing",Polioencephalomalacia,41.6,Died,severe
Cat,None,Blood Donation Screening,38.8,Recovered,no outbreak
Dog,Lethargy,Blastomycosis,40.8,Ongoing,severe
Horse,"Fever, Diarrhea, Laminitis",Colitis,41.1,Died,severe
Goat,"Abscesses, Weight loss",Johne's Disease,39.7,Euthanized,severe
Pig,"Round skin lesions, Non-itchy",Pityriasis Rosea,39.4,Recovered,mild
Dog,None,Geriatric Wellness Exam,38.6,Recovered,no outbreak
Cat,"Pacing, Yowling",Cognitive Dysfunction,38.7,Ongoing,moderate
Cow,"Stiff gait, Swollen muscles",White Muscle Disease,39.2,Recovered,moderate
Dog,Vomiting,Esophageal Stricture,39.5,Ongoing,moderate
Sheep,None,Genetic Testing,38.8,Recovered,no outbreak
Horse,Lameness,Sidebone,38.9,Ongoing,mild
Cat,Diarrhea,Campylobacteriosis,39.9,Recovered,moderate
Pig,"Skin hemorrhages, High fever",Erysipelothrix rhusiopathiae,41.9,Died,severe
Dog,"Aggression, Snapping",Pain-induced Aggression,39.1,Ongoing,moderate
Goat,None,Fecal Exam,38.8,Recovered,no outbreak
Cow,"Infertility, Early embryonic death",Vibriosis,39.8,Euthanized,severe
Dog,Vomiting,Hemorrhagic Gastroenteritis,40.6,Ongoing,severe
Cat,"Choking, Gagging",Nasopharyngeal Polyp,39,Recovered,moderate
Horse,"Nosebleed during exercise, Poor performance",EIPH,39.3,Ongoing,moderate
Sheep,None,Ram Fertility Exam,38.9,Recovered,no outbreak
Dog,Lethargy,IMHA (Immune-Mediated Hemolytic Anemia),41,Euthanized,severe
Cat,Sneezing,Chronic Rhinitis,39.2,Ongoing,moderate
Pig,None,Ringing for Rooting Prevention,39.1,Recovered,no outbreak
Cow,None,Ketosis Testing,38.5,Recovered,no outbreak
Dog,"Swollen face, Hives",Vaccine Reaction,39.7,Recovered,mild
Horse,Lameness,Ringbone,39.1,Ongoing,moderate
Goat,"Coughing, Weight loss",Tuberculosis,40.7,Euthanized,severe
Cat,None,Dental Cleaning,38.6,Recovered,no outbreak
Dog,"Skin thickening, elephant skin""""",Chronic Atopy,38.9,Ongoing,moderate
Sheep,Abortion,Toxoplasmosis,40.2,Ongoing,severe
Cow,None,Semen Collection,38.8,Recovered,no outbreak
Horse,"Muscle atrophy, Weakness",Equine Protozoal Myeloencephalitis,40.4,Ongoing,severe
Dog,Lethargy,Polyarthritis,40.1,Ongoing,moderate
Cat,"Inappropriate urination, Crying",Urinary Crystals,39,Recovered,mild
Pig,None,Castration,39.2,Recovered,no outbreak
Goat,Mastitis,Mycoplasma Infection,40.8,Euthanized,severe
Dog,Vomiting,Bilious Vomiting Syndrome,38.8,Recovered,mild
Cow,"Warts on skin, Teats",Papillomatosis,39.1,Recovered,mild
Horse,"Chronic diarrhea, Weight loss",Lawsonia Intracellularis,40.3,Ongoing,moderate
Cat,None,Recheck Exam,38.7,Recovered,no outbreak
Dog,"Cracked paw pads, Nose crust",Hyperkeratosis,38.6,Ongoing,mild
Sheep,"Rapid breathing, Frothing at mouth",Pulmonary Adenomatosis,41.2,Euthanized,severe
Goat,None,Copper Bolus Administration,38.9,Recovered,no outbreak
Dog,"Sudden collapse, Weakness",Arrhythmia,39.4,Ongoing,severe
Cat,"Constantly hungry, Thin",Tapeworms,38.9,Recovered,mild
Horse,"Dull coat, Pot belly",Internal Parasites,39.3,Ongoing,mild
Cow,None,Brand Inspection,38.7,Recovered,no outbreak
Dog,"Lethargy, Coughing",Valley Fever,40.9,Ongoing,severe
Cat,Sneezing,Bordetella,39.8,Recovered,moderate
Pig,None,Vaccination for Erysipelas,39,Recovered,no outbreak
Sheep,None,Pregnancy Ultrasound,38.9,Recovered,no outbreak
Goat,Scabs on lips,Sore Mouth,39.6,Recovered,mild
Horse,Lameness,SDFT Injury,39.2,Ongoing,severe
Dog,"Growth on eyelid, Rubbing eye",Meibomian Gland Adenoma,38.8,Recovered,mild
Cat,"Drooling, Pawing at face",Broken Jaw,40.3,Ongoing,severe
Cow,None,BVD Testing,38.9,Recovered,no outbreak
Pig,Anemia,Iron Deficiency,39.1,Ongoing,mild
Dog,"Loss of pigment on nose, dudley nose""""",Vitiligo,38.7,Ongoing,mild
Horse,Colic,Spasmodic Colic,39.9,Recovered,moderate
Goat,None,Breeding Consultation,38.8,Recovered,no outbreak
Sheep,Mastitis,Gangrenous Mastitis,41.5,Euthanized,severe
Cat,"Twitching, Seizures",Toxoplasmosis,40.5,Ongoing,severe
Dog,"Itching, Blackened skin",Malassezia Dermatitis,39.1,Recovered,moderate
Cow,"Recumbent, Unable to rise",Downer Cow Syndrome,38.4,Euthanized,severe
Horse,"Skin nodules, Ulcerating sores",Sarcoids,38.9,Ongoing,moderate
Pig,None,Tail Docking,39,Recovered,no outbreak
Dog,"Baldness, Symmetrical hair loss",Seasonal Alopecia,38.7,Ongoing,mild
Cat,"Vomiting undigested food, Regurgitation",Pyloric Stenosis,39.4,Ongoing,moderate
Goat,"Swollen testicles, Infertility",Brucellosis,40.6,Euthanized,severe
Sheep,None,Foot Bath,38.8,Recovered,no outbreak
Dog,"Cherry eye, Red mass in corner of eye",Prolapsed Nictitans Gland,38.9,Recovered,mild
Horse,Coughing,Rhodococcus Equi Pneumonia,41,Died,severe
Cow,Lameness,Sole Ulcer,39.8,Ongoing,moderate
Cat,"Drooling, Anorexia",Oral Squamous Cell Carcinoma,39.6,Euthanized,severe
Dog,None,Anal Gland Expression,38.7,Recovered,no outbreak
Pig,Diarrhea,Coccidiosis,39.7,Recovered,mild
Horse,"Swollen legs, Fever",Cellulitis,40.2,Ongoing,moderate
Dog,"Difficulty walking, Knuckling over",Fibrocartilaginous Embolism,39,Ongoing,severe
Cow,"Sudden high fever, Depression",Anaplasmosis,41.4,Died,severe
Cat,"Lump on body, Non-painful",Lipoma,38.8,Ongoing,mild
Horse,"Skin scraping, Itching",Mange,39.4,Recovered,mild
Dog,Vomiting,Ingested sock,39.5,Ongoing,moderate
Pig,"Fever, Lethargy, Diamond skin lesions",Swine Erysipelas,41.8,Died,severe
Sheep,"Watery diarrhea, Dehydration",Salmonellosis,40.9,Died,moderate
Dog,None,Fecal Test,38.7,Recovered,no outbreak
Cat,"Hissing when touched, Hiding",Abscess from fight,40.1,Recovered,moderate
Cow,None,Magnet Administration,38.8,Recovered,no outbreak
Dog,"Sneezing blood, Facial swelling",Nasal Aspergillosis,40.3,Ongoing,severe
Horse,Lameness,Quarter Crack,39,Ongoing,mild
Goat,"Weight loss, Clumped feces",Tapeworms,39.3,Recovered,mild
Dog,"Bad breath, Plaque buildup",Periodontal Disease,38.9,Ongoing,moderate
Cat,"Pacing, Crying at night",Senility,38.6,Ongoing,mild
Sheep,"Abortion storm, Weak lambs",Campylobacteriosis,40.5,Euthanized,severe
Dog,None,Pre-surgical Bloodwork,38.8,Recovered,no outbreak
Pig,None,Boar Semen Evaluation,38.7,Recovered,no outbreak
Cow,"Corneal opacity, Tearing",Pinkeye,39.7,Recovered,mild
Cat,"Bald belly, Overgrooming",Flea Allergy Dermatitis,39,Recovered,moderate
Dog,"Sudden paralysis, Pain",Intervertebral Disc Disease,39.6,Ongoing,severe
Horse,"Fever, Lethargy, Edema",Equine Viral Arteritis,40.8,Euthanized,severe
Dog,"Licking granuloma, Raw sore on leg",Acral Lick Dermatitis,38.9,Ongoing,mild
Cat,"Straining to urinate, Blood",UTI,39.4,Recovered,mild
Cow,Bloat,Frothy Bloat,41.2,Died,severe
Pig,"Stillbirths, Mummified fetuses",Porcine Parvovirus,40.1,Ongoing,moderate
Goat,None,Hoof Trimming,38.7,Recovered,no outbreak
Dog,"Straining to defecate, Ribbon-like stool",Perineal Hernia,39.1,Ongoing,moderate
Cat,"Drooling, Refusing hard food",Tooth Resorption,39,Ongoing,moderate
Sheep,Coughing,Lungworm Infection,39.9,Recovered,moderate
Dog,"Swollen puppy belly, pot belly""""",Roundworms,39.2,Recovered,mild
Horse,None,Lameness Exam,39.1,Recovered,no outbreak
Cow,Lameness,Hairy Heel Warts,39.4,Ongoing,mild
Dog,"Itching, Recurrent skin infections",Food Allergies,39,Ongoing,moderate
Cat,"Lump under chin, Swollen",Acne,38.8,Recovered,mild
Pig,"Sunburn, Reddened skin",Photosensitization,39.5,Recovered,mild
Dog,"Weakness, Difficulty barking",Laryngeal Paralysis,39.3,Ongoing,severe
Cat,None,Blood Pressure Check,38.9,Recovered,no outbreak
Horse,"Headshaking, Snorting",Trigeminal Neuralgia,39.2,Ongoing,moderate
Dog,"Nailbed infection, Swelling",Paronychia,39.1,Recovered,mild
Cow,None,Tuberculosis Test,38.8,Recovered,no outbreak
Dog,"Whining, Shaking",Anxiety from Storms,38.9,Ongoing,mild
Cat,"Greasy coat, Dandruff",Seborrhea,38.7,Recovered,mild
Sheep,"Circling, Disorientation",Listeriosis,41.7,Died,severe
Pig,"Sores on feet, Lameness",Vesicular Exanthema,40.4,Euthanized,severe
Dog,"Growling over food, Guarding",Resource Guarding,38.8,Ongoing,mild
Cat,None,Echocardiogram,39,Recovered,no outbreak
Horse,"Wasting, Chronic weight loss",Equine Metabolic Syndrome,38.9,Ongoing,moderate
Dog,"Trouble closing mouth, Dropped jaw",Trigeminal Neuritis,39,Recovered,moderate
Cow,"Wooden tongue, Inability to eat",Actinobacillosis,40.6,Ongoing,moderate
